GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
Dothan AL,606,DMA,Dothan,AL-FL-GA,36375
St. Louis MO,609,DMA,St. Louis,IL-MO,63030
Rockford IL,610,DMA,Rockford,IL,61324
Rochester NY,611,DMA,Rochester-Mason City-Austin,IA-MN,50484
Shreveport LA,612,DMA,Shreveport,AR-LA-OK-TX,71171
Minneapolis-St. Paul MN,613,DMA,Minneapolis-St. Paul,MN-WI,56330
Kansas City MO,616,DMA,Kansas City,KS-MO,64679
Milwaukee WI,617,DMA,Milwaukee,WI,53207
Houston TX,618,DMA,Houston,TX,77387
Springfield MO,619,DMA,"Springfield,  MO",AR-MO,72626
New York NY,622,DMA,New Orleans,LA-MS,70364
Dallas-Ft. Worth TX,623,DMA,Dallas-Ft. Worth,TX,76036
Sioux City IA,624,DMA,Sioux City,IA-NE-SD,68067
Waco-Temple-Bryan TX,625,DMA,Waco-Temple-Bryan,TX,76870
Victoria TX,626,DMA,Victoria,TX,77951
Wichita Falls TX & Lawton OK,627,DMA,Wichita Falls & Lawton,OK-TX,73548
Monroe LA-El Dorado AR,628,DMA,Monroe-El Dorado,AR-LA,71269
Birmingham AL,630,DMA,Birmingham (Anniston And Tuscaloosa),AL,35179
Ottumwa IA-Kirksville MO,631,DMA,Ottumwa-Kirksville,IA-MO,63560
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,DMA,Paducah-Cape Girardeau-Harrisburg,IL-KY-MO-TN,62889
Odessa-Midland TX,633,DMA,Odessa-Midland,NM-TX,79713
Amarillo TX,634,DMA,Amarillo,NM-OK-TX,79237
Austin TX,635,DMA,Austin,TX,78628
Harlingen-Weslaco-Brownsville-McAllen TX,636,DMA,Harlingen-Weslaco-Brownsville-Mcallen,TX,78558
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,DMA,Cedar Rapids-Waterloo-Iowa City & Dubuque,IA,52410
St. Joseph MO,638,DMA,St. Joseph,KS-MO,64508
Jackson TN,639,DMA,"Jackson,  TN",TN,38330
Memphis TN,640,DMA,Memphis,AR-MS-TN,38375
San Antonio TX,641,DMA,San Antonio,TX,78236
Lafayette LA,642,DMA,"Lafayette,  LA",LA,70543
Lake Charles LA,643,DMA,Lake Charles,LA,70637
Alexandria LA,644,DMA,"Alexandria,  LA",LA,71328
Greenwood-Greenville MS,647,DMA,Greenwood-Greenville,AR-MS,38952
Champaign & Springfield-Decatur IL,648,DMA,Champaign & Springfield-Decatur,IL-IN,62689
Evansville IN,649,DMA,Evansville,IL-IN-KY,47715
Oklahoma City OK,650,DMA,Oklahoma City,OK,73768
Lubbock TX,651,DMA,Lubbock,TX,79311
Omaha NE,652,DMA,Omaha,IA-MO-NE,51546
Panama City FL,656,DMA,Panama City,FL,32420
Sherman TX-Ada OK,657,DMA,Sherman-Ada,OK-TX,73432
Green Bay-Appleton WI,658,DMA,Green Bay-Appleton,MI-WI,54141
